product_link,product_name,price,category
https://www.flipkart.com/free-kicks-kicks-444-latest-running-shoes-men/p/itm491f1e0a9973a?pid=SHOH92F2KHV6BYRW&lid=LSTSHOH92F2KHV6BYRWL2RBY8&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_21&otracker=search&otracker1=search&fm=Search&iid=en_-3NtHrfq3O1vT-6JqmUo4NGfttAUbBDG5N0LJ1SxVU9yD7bzT8VxZQL--TjinhMfD-YatbMyP0YrvWq7q-DyzQ%3D%3D&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"Free Kicks 
FREE KICKS-444 Latest Running Shoes For Men  (Grey, Orange , 10)",319,shoes
https://www.flipkart.com/foot-trends-safety-shoes-steel-toes-industrial-construction-warehouse-use-men/p/itme7116d0ceeb1d?pid=SHOHDNPGHFCHUMJS&lid=LSTSHOHDNPGHFCHUMJS8YHZO2&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_22&otracker=search&otracker1=search&fm=Search&iid=en_-3NtHrfq3O1vT-6JqmUo4NGfttAUbBDG5N0LJ1SxVU8jtT8so_D5TO5zvQ5y7fgLEsZWMg4Z8cLVfEqjz5DCOg%3D%3D&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"foot trends 
Safety shoes with steel toes for industrial, construction and warehouse use For Men  (Black , 10)",495,shoes
https://www.flipkart.com/birde-new-design-lightweight-stylish-trendy-walking-shoes-men/p/itmccaf91c36bff7?pid=SHOGD8PD4VFHDZHY&lid=LSTSHOGD8PD4VFHDZHYPTY62H&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_23&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOGD8PD4VFHDZHY.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"Birde 
New Design Lightweight Stylish and Trendy Walking Shoes For Men  (Grey, Green , 8)",314,shoes
https://www.flipkart.com/exson-men-s-canvas-sports-shoes-running-party-wear-lace-up-velcro-high-tops-men/p/itmb1e522dd41a16?pid=SHOHHC37YXJYJH5M&lid=LSTSHOHHC37YXJYJH5MKWYNFD&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_24&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOHHC37YXJYJH5M.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"eXson 
Men's Canvas Sports Shoes Running & Party Wear Shoes Lace Up & Velcro Shoes High Tops For Men  (Beige , 6)",394,shoes
https://www.flipkart.com/jqr-excel-sports-shoes-walking-trendy-lightweight-trekking-stylish-walking-shoes-men/p/itm74199d6fd2764?pid=SHOGHZGWZARCJYET&lid=LSTSHOGHZGWZARCJYETAVWMXW&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_25&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOGHZGWZARCJYET.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"JQR 
EXCEL Sports shoes, Walking, Trendy, Lightweight, Trekking, Stylish Walking Shoes For Men  (Grey , 7)",570,shoes
https://www.flipkart.com/birde-premium-lightweight-comfortable-regular-wear-walking-shoes-men/p/itm41fcd223b19d6?pid=SHOGZH38NZRCFSKY&lid=LSTSHOGZH38NZRCFSKYOOMF2Q&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_26&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOGZH38NZRCFSKY.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"Birde 
Premium Lightweight Comfortable Regular Wear Walking Shoes For Men  (Brown , 8)",461,shoes
https://www.flipkart.com/bruton-hockey-931-sports-running-shoes-men/p/itmf38ca3d6109fb?pid=SHOH9SXYZKZJ7YSK&lid=LSTSHOH9SXYZKZJ7YSKOXPA1I&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_27&otracker=search&otracker1=search&fm=Search&iid=en_-3NtHrfq3O1vT-6JqmUo4NGfttAUbBDG5N0LJ1SxVU-J-3RnZmGtAISh4hOmwZpo3DZVi2ZJRlhCf1X2IzHkmQ%3D%3D&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"BRUTON 
HOCKEY-931 | Sports Running Shoes For Men  (Blue , 6)",482,shoes
https://www.flipkart.com/action-athleo-atg-496-comfortable-lightweight-breathable-sports-lace-up-running-shoes-men/p/itm90d871abea385?pid=SHOGE95CM58GQ7XK&lid=LSTSHOGE95CM58GQ7XK54HBNS&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_28&otracker=search&otracker1=search&fm=Search&iid=en_-3NtHrfq3O1vT-6JqmUo4NGfttAUbBDG5N0LJ1SxVU_N5gdB578KmCfq-H6IrDUlEPpPpWkEadf9yQMae2JpddzVZusnqMRsJ2VfVNgXwcI%3D&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"action 
Athleo ATG 496 Comfortable Lightweight Breathable Sports Lace Up Running Shoes For Men  (White , 8)",829,shoes
https://www.flipkart.com/turnx-hockey-lightweight-gym-training-running-comfortable-sports-shoes-men/p/itm1d07ad320796c?pid=SHOH2HAWKHZS677Z&lid=LSTSHOH2HAWKHZS677ZQRCDCB&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_29&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOH2HAWKHZS677Z.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"TURNX 
Hockey lightweight Gym Training Running comfortable sports Running Shoes For Men  (White, Blue , 9)",780,shoes
https://www.flipkart.com/nobelite-premium-sports-gym-trending-stylish-running-shoes-men/p/itm6dafeff2a254c?pid=SHOH8PFQADZWRXXG&lid=LSTSHOH8PFQADZWRXXGUOYDAP&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_30&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOH8PFQADZWRXXG.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"NOBELITE 
Premium Sports ,Gym, Trending, Stylish Running Shoes For Men  (White, Blue , 8)",451,shoes
https://www.flipkart.com/action-athleo-bullet-405-stylish-lightweight-comfortable-sports-lace-up-running-shoes-men/p/itm7ea958b3a61e8?pid=SHOH4WB79GSZAHFN&lid=LSTSHOH4WB79GSZAHFNBGHLBV&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_31&otracker=search&otracker1=search&fm=Search&iid=en_-3NtHrfq3O1vT-6JqmUo4NGfttAUbBDG5N0LJ1SxVU-EB8PlLSPesHN35yQHB87ttu7mUuDs6wf00evP_DqmKfC9wi2h83IXS3CZUjDq0kk%3D&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"action 
Athleo BULLET 405 Stylish Lightweight Comfortable Sports Lace Up Running Shoes For Men  (White, Blue , 8)",1098,shoes
https://www.flipkart.com/clymb-es-21-hockey-walking-outdoor-gym-traning-running-shoes-men/p/itmc8c6664334d1c?pid=SHOGRKEFPZCYWM2P&lid=LSTSHOGRKEFPZCYWM2PK6DIQA&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_32&otracker=search&otracker1=search&fm=Search&iid=en_-3NtHrfq3O1vT-6JqmUo4NGfttAUbBDG5N0LJ1SxVU8vwuvX2129szWANbZ3pyPztFDdNLK7jA3oZxYF0MygrQ%3D%3D&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"CLYMB 
ES-21 Hockey Walking/Outdoor/Gym & Traning Running Shoes For Men  (Grey , 10)",460,shoes
https://www.flipkart.com/birde-new-design-lightweight-stylish-trendy-walking-shoes-men/p/itme7f76e889a6de?pid=SHOFZEWUBGEHKREM&lid=LSTSHOFZEWUBGEHKREMYOOZ2T&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_33&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOFZEWUBGEHKREM.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"Birde 
New Design Lightweight Stylish and Trendy Walking Shoes For Men  (Grey , 6)",320,shoes
https://www.flipkart.com/face-lightweight-sports-shoe-men-running-shoes/p/itmfbd0316783ad7?pid=SHOHGSDQN7FGBWMH&lid=LSTSHOHGSDQN7FGBWMHF7KOYD&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_34&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOHGSDQN7FGBWMH.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"Face 
LightWeight Sports Shoe For Men Running Shoes For Men  (Black, White , 9)",540,shoes
https://www.flipkart.com/asian-wndr-13-sports-shoes-men-latest-stylish-casual-sport-running-boys-lace-up-lightweight-grey-running-walking-gym-trekking-hiking-party-running/p/itmff96xgyjjf3fx?pid=SHOF3KF5XZZHCMBD&lid=LSTSHOF3KF5XZZHCMBDS561HI&marketplace=FLIPKART&q=sports+shoes+for+men&store=osp%2Fcil%2F1cu&srno=s_1_35&otracker=search&otracker1=search&fm=Search&iid=bc5c0dd4-8d3a-4686-b6bf-d4aae855a0ae.SHOF3KF5XZZHCMBD.SEARCH&ppt=sp&ppn=sp&ssid=6radzo8sg00000001766863330755&qH=f972ce6c5fecb395,"asian 
wndr-13 sports shoes for men | Latest Stylish Casual sport shoes for men |running shoes for boys | Lace up Lightweight grey shoes for running, walking, gym, trekking, hiking & party Running Shoes For Men  (Multicolor , 8 UK/India)",662,shoes
